Book-Title,Book-Author,Publisher
"The Return of the King (The Lord of the Rings, Part 3)",J.R.R. TOLKIEN,Del Rey
"Tucket's Gold (Tuckets Adventures, Book 4)",Gary Paulsen,Yearling Books
The Hitchhiker (Point),R. L. Stine,Scholastic
"Lucy Forever and Miss Rosetree, Shrinks",Susan Richards Shreve,HarperTrophy
The Underground (Left Behind: The Kids #6),Jerry B. Jenkins,Tyndale House Publishers
"Busted! (Left Behind. the Kids, 7)",Jerry Jenkins,Tyndale House Publishers
George and Martha Rise and Shine,James Marshall,Houghton Mifflin
Behind the Lines (Point),Isabelle Holland,Scholastic
Monster (rpkg),Walter Dean Myers,Amistad
Five Children and It,Edith Nesbit,Troll Communications
La fuente del unicornio,Theodore Sturgeon,"Plaza &amp, Janes Editores, S.A."
A Gift of Hope: How We Survive Our Tragedies,Robert L. Veninga,Ballantine Books
Crossing to Safety: A Novel (Great Reads),Wallace Stegner,Wings
Suzanne's Diary for Nicholas,James Patterson,Warner Books
Ladder of Years,Anne Tyler,Random House Inc
Playing It by Heart: Taking Care of Yourself No Matter What,Melody Beattie,MJF Books
The Heart Reader,Anonymous,WestBow Press
Daughters of Memory,Janis Arnold,Algonquin Books of Chapel Hill
Right from Wrong,Cindy Bonner,Algonquin Books of Chapel Hill
The Bondwoman's Narrative,Hannah Crafts,Warner Books
"Magic's Price (The Last Herald-Mage Series, Book 3)",Mercedes Lackey,Daw Books
"Magic's Pawn (The Last Herald-Mage Series, Book 1)",Mercedes Lackey,Daw Books
"Magic's Promise (The Last Herald-Mage Series, Book 2)",Mercedes Lackey,Daw Books
Kirith Kirin,Jim Grimsley,Meisha Merlin Pub
Dispatches from the Tenth Circle: The Best of the Onion,ROBERT SIEGEL,Three Rivers Press
Cars and Trucks and Things That Go,RICHARD SCARRY,Golden Books
Fifth Business (Penguin Twentieth-Century Classics),Robertson Davies,Penguin Books
Long Wait,Mickey Spillane,Signet Book
The Alienist,Caleb Carr,Random House
A Separate Peace (Scribner Classics),John Knowles,Scribner
High Fidelity,Nick Hornby,Riverhead Books
The Fifties,DAVID HALBERSTAM,Ballantine Books
How to Be a Canadian: Even If You Already are One,Will Ferguson,"Douglas &amp, McIntyre"
"The Lion, the Fox and the Eagle",CAROL OFF,Vintage Canada
"War and Peace: The Maude Translation, Backgrounds and Sources, Criticism (Norton Critical Editions)",Leo Tolstoy,"W. W. Norton &amp, Company"
American Gods: A Novel,Neil Gaiman,William Morrow
Nobody's Perfect: Selected Writings from the New Yorker,Anthony Lane,Alfred A. Knopf
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,Back Bay Books
A Confederacy of Dunces (Evergreen Book),John Kennedy Toole,Grove Press
American Son,Richard Blow,St. Martin's Press
"Let's Roll: Ordinary People, Extraordinary Courage",Lisa Beamer,Tyndale House Publishers
Metamorphosis,David Suzuki,Harpercollins
The White Road,John Connolly,"Hodder &amp, Stoughton"
Fiddleback: A Novel,J.M. Morris,Pan Macmillan
Heart Conditions,Sara Lewis,Harvest Books
Mrs Dalloway,Virginia Woolf,Harvest Books
The Falls (Inspector Rebus S.),Ian Rankin,Orion mass market paperback
Burn Marks (V.I. Warshawski Novels (Paperback)),Sara Paretsky,Dell
Resurrection Men (Inspector Rebus S.),Ian Rankin,Orion mass market paperback
A Question of Blood,Ian Rankin,Orion
The Cater Street Hangman,Anne Perry,Fawcett Books
Gaudy Night,Dorothy L. Sayers,HarperCollins Publishers
Endangered Species (Anna Pigeon Mysteries (Paperback)),Nevada Barr,Avon
The Virgin in the Ice (Cadfael Chronicles: 6),Ellis Peters,Little Brown and Company
The Leper of St. Giles,Peters,Little Brown and Company
It Helps When You Take the Brake Off,Renee,Random House Uk Ltd
The Legend of Nightfall (Daw Book Collectors),Mickey Zucker Reichert,Daw Books
Belarus,Lee Hogan,Roc
Prodigal Summer,Barbara Kingsolver,HarperCollins
Flesh and Blood,Jonathan Kellerman,Ballantine Books
Germs : Biological Weapons and America's Secret War,Judith Miller,"Simon &amp, Schuster"
Man's Search for Ultimate Meaning,Viktor E. Frankl,Perseus Publishing
A Short History of a Small Place: A Novel,T. R. Pearson,"Henry Holt &amp, Company"
White Oleander : A Novel (Oprah's Book Club),Janet Fitch,Back Bay Books
Friday,Michel Tournier,Johns Hopkins University Press
"The Coffeehouse Investor: How to Build Wealth, Ignore Wall Street and Get on With Your Life",Bill Schultheis,Longstreet Press
Chic Simple: Scarves (Chic Simple Components),Kim Johnson Gross,Alfred A. Knopf
The Last Don,MARIO PUZO,Ballantine Books
The Sicilian,MARIO PUZO,Ballantine Books
"The Bachman Books: Rage, the Long Walk, Roadwork, the Running Man",Stephen King,New Amer Library
Cigar Box,Wilbur Witt,Writers Club Press
Ghost Boy,Iain Lawrence,Laurel-Leaf Books
The Fantastic Adventures of Robin Hood,Martin H. Greenberg,New Amer Library
A Widow for One Year : A Novel,JOHN IRVING,Random House
Year of the Griffin,Diana Wynne Jones,HarperTrophy
Coma: A Novel,Robin Cook,"Little Brown &amp, Co"
Running with Scissors,Augusten Burroughs,St. Martin's Press
Confessions of an Ugly Stepsister : A Novel,Gregory Maguire,Regan Books
The Ice House,Minette Walters,St. Martin's Press
The Sculptress (Sculptress),Minette Walters,St. Martin's Press
The Bookman's Wake (Cliff Janeway Novels (Paperback)),John Dunning,Pocket Star
Spy Catcher: The Candid Autobiography of a Senior Intelligence Officer,Peter Wright,Penguin USA
Still Life with  Woodpecker,TOM ROBBINS,Bantam
Crystal Cave,Mary Stewart,Fawcett Books
Empire,Gore Vidal,Book Sales
House of Leaves,Mark Z. Danielewski,Pantheon Books
Playing for the Ashes,Elizabeth George,Bantam Dell Pub Group
The Broken Sword: The Return of King Arthur,Molly Cochran,Tor Books
The Simple Truth,David Baldacci,Warner Books Inc
"Outcast of Redwall (Redwall, Book 8)",Brian Jacques,Ace Books
Good to Great: Why Some Companies Make the Leap... and Others Don't,Jim Collins,HarperBusiness
Zen and the Art of Motorcycle Maintenance: An Inquiry into Values,ROBERT PIRSIG,Bantam
The Green,Troon McAllister,Main Street Books
The Syndrome,John Case,Fawcett Books
Perdido Street Station,China Mieville,Del Rey Books
Angelas Ashes: A Memoir,Frank McCourt,Scribner
The Wasp Factory: A Novel,Iain Banks,"Simon &amp, Schuster"
A Gesture Life,Chang-Rae Lee,Riverhead Books
The Lion's Game,Nelson DeMille,Warner Books
The Master of Rain,TOM BRADBY,Doubleday
I Don't Want to Go to Jail : A Novel,Jimmy Breslin,"Little, Brown"
Pronto,Elmore Leonard,Dell
The Uncanny,Andrew Klavan,Dell Publishing Company
You Are Not a Stranger Here,Adam Haslett,Nan A. Talese
Die Insel des vorigen Tages.,Umberto Eco,Carl Hanser
Vincent Price: A Daughter's Biography,Victoria Price,St Martins Pr
The High King,Lloyd Alexander,Dell Publishing Company
Stardust,Neil Gaiman,Avon
Tsugumi.,Banana Yoshimoto,Diogenes Verlag
The Testament,John Grisham,Trafalgar Square
Just Like Your Daddy,D. E. Rogers,Invincible Books
Scooter and the Galactic Starship,Douglas R. Robinson,Writer's Showcase Press
The Great Pretender,Millenia Black,Infinity Publishing (PA)
My Sister from the Black Lagoon : A Novel of My Life,Laurie Fox,"Simon &amp, Schuster"
The Darwin Awards II: Unnatural Selection,Wendy Northcutt,Dutton Books
A Paler Shade of White: The History of White People in America - Volume II,Martin Mull,Cliffs Notes
The Accidental Tourist,Anne Tyler,Berkley Publishing Group
The Sixteenth Round: From Number 1 Contender To #45472,Rubin Carter,Penguin Books
Praetorian,Thomas Gifford,Bantam Books
True History of the Kelly Gang,Peter Carey,Alfred A. Knopf
Ring of Fire,Cinammon Burke,Love Spell
"Beneath A Texas Sky (Count On A Cop) (Harlequin Superromance, No. 1034)",Rebecca Winters,Harlequin
Banners of Silk,Rosalind Laker,New Amer Library (Mm)
"Galahad In Blue Jeans (Way Out West) (Silhouette Intimate Moments, 971)",Sara Orwig,Silhouette
Little Women,Louisa May Alcott,Octopus Publising Group Plc
"Funny, Jonas: You Don't Look Dead",Mary McCullen,Jove Books
Dying for Chocolate (Culinary Mysteries (Paperback)),DIANE MOTT DAVIDSON,Bantam
Beyond the Golden Hills and Other Stories,Anne L. Squire-Buresh,Herald Press (PA)
"Between Husbands &amp, Friends",Nancy Thayer,St. Martin's Paperbacks
Dave Barry Slept Here,Dave Barry,Ballantine Books
The Rum Diary : A Novel,Hunter S. Thompson,"Simon &amp, Schuster"
Welcome to the Funny Farm: The All-True Misadventures of a Woman on the Edge,Karen Scalf Linamen,Revell
The Dilbert Future: Thriving on Business Stupidity in the 21st Century,Scott Adams,HarperBusiness
The Picture of Dorian Gray,Oscar Wilde,"Barnes &amp, Noble Books-Imports"
El Libro de Las Ilusiones,Paul Auster,Anagrama
Pnin,VLADIMIR NABOKOV,Everyman's Library
El Ultimo Encuentro,Sandor Marai,Planeta Pub Corp
La Ceremonia del Masaje,Alan Bennett,Anagrama
Q,Luther Blissett,Harcourt
Don Quijote de La Mancha,Miguel De Cervantes Saavedra,Santillana S.A.
Estupidos Hombres Blancos,Michael Moore,Ediciones B
Let Me Go,Helga Schneider,"Walker &amp, Company"
Eva Luna - Bolsillo,Isabel Allende,Sudamericana
La Sombra del Viento,Carlos Ruiz Zafon,Planeta
"Palestina, Ocupacio I Resistencia: Manual Practic Sobre La Questio Palestina I El Conflicte Arabo-Israelia",Salah Jamal,Edicions El Jonc
Viva el mal! Viva el capital!,Santiago Alba Rico,Virus
Los Renglones Torcidos De Dios,Luca de Tena,"Editorial Planeta, S.A."
Cultivo de Plantas Medicinales Aromaticas y Condimenticias,Fernandez,Omega
Feng Shui: A Complete Guide (Complete Guides),Richard Craze,Trafalgar Square Publishing
Les Soldats de Salamine,Javier Cercas,Actes Sud
J.D. Salinger's Franny and Zooey,J. D. Salinger,Monarch Notes
Nueve Cuentos,J. D. Salinger,Edhasa
Emmanuelle,Emmanuelle Arsan,Tusquets
Cuentos Para Pensar / Stories To Think About,Jorge Bucay,Alfaguara/Santillana USA
Mujercismas,Terenci Moix,"Editorial Planeta, S.A. (Barcelona)"
Una Historia De Amor Como Otra Cualquiera,Lucia Etxebarria,"Espasa Calpe Mexicana, S.A."
Delta Style: Eve Wasn't a Size 6 and Neither Am I,Delta Burke,St. Martin's Press
"The Austere Academy (A Series of Unfortunate Events, Book 5)",Lemony Snicket,HarperCollins
Brideshead Regained,Michael Johnston,Akanos
Extreme Measures,Michael Palmer,Bantam Books
The Blind Mirror,Christopher Pike,Tor Books
The Door into Summer,Robert A. Heinlein,Del Rey Books
"Lesser Evil (Star Trek Deep Space Nine: Mission Gamma, Book 4)",Robert Simpson,Star Trek
"Cathedral (Star Trek Deep Space Nine: Mission Gamma, Book 3)",Michael A. Martin,Star Trek
"This Gray Spirit (Star Trek Deep Space Nine: Mission Gamma, Book 2)",Heather Jarman,Star Trek
"Twilight (Star Trek Deep Space Nine: Mission Gamma, Book 1)",David R. George III,Star Trek
Ender's Shadow,Orson Scott Card,Tor Books
The Evil That Men Do (Buffy the Vampire Slayer),Nancy Holder,Simon Spotlight Entertainment
The Wisdom of War (Buffy the Vampire Slayer),Christopher Golden,Simon Spotlight Entertainment
Sins of the Father (Buffy the Vampire Slayer),Christopher Golden,Simon Spotlight Entertainment
Resurrecting Ravana  (Buffy the Vampire Slayer),Ray Garton,Simon Spotlight Entertainment
The Return (Star Trek),William Shatner,Pocket Books
Preserver (Star Trek),William Shatner,Star Trek
Dark Victory (Star Trek),William Shatner,Star Trek
Spectre (Star Trek),William Shatner,Star Trek
Gatsby le Magnifique,F. Scott Fitzgerald,Livre de Poche
LIFE AFTER GOD : LIFE AFTER GOD,Douglas Coupland,Washington Square Press
The Phantom of the Opera (Bullseye Chillers),Gaston Leroux,Random House Children's Books
Flight,Jan Burke,Pocket
The Haunted Omnibus,Ed Laing,MJF Books
"Stacey and the Bad Girls (Baby-Sitters Club, 87)",Ann M. Martin,Scholastic
"Mary Anne Breaks the Rules (Baby-Sitters Club, 79)",Ann M. Martin,Scholastic Paperbacks
Due Diligence,A. Michael Kahn,Onyx Books
Skin Tight,Carl Hiaasen,Fawcett Books
Beneath the Skin,Nicci French,Warner Books
Lucky You,Carl Hiaasen,Random House Inc
The Reef,Nora Roberts,Jove Books
Deadly Practice,Christine Green,Worldwide Library
Man From St Petersburg,Ken Follett,Penguin Putnam~mass
Lightning Song,Lewis Nordan,Algonquin Books of Chapel Hill
Name Dropping : What If Two Very Different Women Had The Same Exact Name?,Jane Heller,St. Martin's Press
Chameleon,William Diehl,Ballantine Books
The Trials of Tiffany Trott,Isabel Wolff,Onyx Books
LUCKY,Judy Collins,Pocket
Royal Invitation,Julia Fenton,Jove Books
The Basic Steps to Successful Homeschooling,Vicki A. Brady,Vital Issues Press
Pagan Babies,Elmore Leonard,HarperTorch
Prime Cut,Diane Mott Davidson,Bantam Books
'48,James Herbert,Eos
The Homeschooling Book of Answers : The 88 Most Important Questions Answered by Homeschooling's Most Respected Voices,LINDA DOBSON,Prima Lifestyles
What Makes a Man Feel Loved,Bob Barnes,Harvest House Publishers
"Angry Men, Passive Men: Understanding the Roots of Men's Anger and How to Move Beyond It",Marvin Allen,Ballantine Books
The Scold's Bridle,Minette Walters,St. Martin's Press
Her Father's House,BELVA PLAIN,Delacorte Press
The Day,Douglas Hobbie,"Henry Holt &amp, Co"
The Sins of Eden,Iris Gower,Ulverscroft Large Print
The Indoor Boy,Antony Sher,Penguin Books Ltd
Sanft entschlafen. Commissario Brunettis sechster Fall.,Donna Leon,Diogenes Verlag
Das Dilbert-Prinzip.,Scott Adams,Heyne
Platero y Yo,Juan Ramon Jimenez,"Editores Mexicanos Unidos, S.A."
Mas Cuentos de Los Viudos Negras,Isaac Asimov,Alianza
Cuentos de hadas retorcidos,A.J. Jacobs,Sirio
Bueno Para Comer,Marvin Harris,Alianza
Preguntale a Platon,Lou Marinoff,Ediciones B
El Hombre Anumerico,John Allen Paulos,Tusquets
Donde El Corazon De Lleve,Susana Tamaro,Planeta Pub Corp
Vida Sin Condiciones,Deepak Chopra,Santillana USA Publishing Company
Canibales y Reyes,Marvin Harris,Alianza
Obras Completas De Agatha Christie (Grandes Maestros Del Crimen Y Misterio),Christie,Lectorum Pubns (J)
The Girls' Guide to Hunting and Fishing,Melissa Bank,Viking Books
The Pleasure of My Company: A Novel,Steve Martin,Hyperion
A New Song (The Mitford Years),Jan Karon,Viking Books
Jack: Straight from the Gut,Jack Welch,Warner Business Books
Random Acts of Kindness,Conari Press,Conari Press
House of Sand and Fog,Andre Dubus III,Vintage Books
Winterdance: The Fine Madness of Running the Iditarod,Gary Paulsen,Harvest Books
Traumberufe rund ums Pferd.,Ria Fehlau,Franckh-Kosmos Verlag
Saving Faith,David Baldacci,Warner Vision
Blade,Mel Odom,HarperEntertainment
The Cheerleader (Point Thriller),Caroline B. Cooney,Scholastic Paperbacks (Mm)
Live from New York: An Uncensored History of Saturday Night Live,Tom Shales,"Little, Brown"
El Psicoanalista,John Katzenbach,Ediciones B
Hunting Season (Anna Pigeon Novels (Paperback)),Nevada Barr,Berkley Publishing Group
The PMS Outlaws : An Elizabeth MacPherson Novel,Sharyn McCrumb,Bantam Books
Full Speed (Janet Evanovich's Full Series),Janet Evanovich,St. Martin's Paperbacks
Death on Deadline,Robert Goldsborough,Bantam Books
The Monkey's Raincoat,ROBERT CRAIS,Crimeline
Five Bells and Bladebone,Martha Grimes,Dell Publishing Company
Wildest Dreams,Jennifer Blake,Ivy Books
The Tulip,Anna Pavord,Bloomsbury
The making of Minty Malone,Isabel Wolff,HarperCollins
Second Thyme Around,Katie Fforde,St. Martin's Paperbacks
The Mulberry Tree,Jude Deveraux,Pocket
Thursday'S At Eight,Debbie Macomber,Mira
The Blue Sword,Robin McKinley,Greenwillow
Love Story,Erich Segal,HarperTorch
City of the Dead (Resident Evil #3),S.D. Perry,Pocket
CALIBAN COVE: RESIDENT EVIL #2,S.D. Perry,Pocket
Underworld  (Resident Evil #4),S.D. Perry,Pocket
The UMBRELLA CONSPIRACY: RESIDENT EVIL #1,S.D. Perry,Pocket
The Not-So-Jolly Roger (Time Warp Trio),Jon Scieszka,Puffin Books
Knights of the Kitchen Table (Time Warp Trio),Jon Scieszka,Puffin Books
Summer Reading Is Killing Me (Time Warp Trio (Library)),Jon Scieszka,Sagebrush Bound
The Curious Eat Themselves,John Straley,Bantam Books
Acts of War (Tom Clancy's Op Center (Paperback)),Tom Clancy,Berkley Publishing Group
"The Creative Writing Coursebook: Forty Authors Share Advice and Exercises for Fiction &amp, Poetry",Julia Bell,Pan Macmillan
New Windmills: To Kill a Mockingbird (New Windmills),Harper Lee,Heinemann Educational Books - Secondary Division
Fever Pitch,Nick Hornby,Penguin Books Ltd
Whitsun Weddings,Philip Larkin,"Faber &amp, Faber"
High Fidelity,Nick Hornby,Penguin Books Ltd
Love You Forever,Robert N. Munsch,Firefly Books Ltd
White Teeth: A Novel,Zadie Smith,Vintage Books USA
Quivers: A Life,Robin Quivers,Harpercollins
East of the Mountains (Vintage Contemporaries (Paperback)),David Guterson,Harvest Books
"Legends: Short Novels by the Masters of Modern Fantasy, Vol. 1",Robert Silverberg,Tor Books
Wicked : The Life and Times of the Wicked Witch of the West,Gregory Maguire,HarperCollins
The Vision of Emma Blau,Ursula Hegi,"Simon &amp, Schuster"
Firestarter (Signet Book),Stephen King,New Amer Library
A RIVER RUNS THROUGH IT AND OTHER STORIES : AND OTHER STORIES,Norman Maclean,Pocket
The Outsiders,S. E. Hinton,Learning Curve
Death Be Not Proud a Memoir,John Gunther,Harper Row
The Catcher in the Rye,J. D. Salinger,Bantam Books
Sophie's World: A Novel About the History of Philosophy,Jostein Gaarder,Berkley Publishing Group
Silence of the Lambs,Thomas Harris,St. Martin's Press
Cry the Beloved Country,Alan Paton,Simon Schuster Trade
The Hot Zone,Richard Preston,Anchor
Snakes: Their Care and Keeping,Lenny Flank,Howell Books
Born Free: A Lioness of Two Worlds,Joy Adamson,Pantheon Books
The Revenants,Sheri S. Tepper,Ace Books
Akhenaten : Dweller in TruthA Novel,Naguib Mahfouz,Anchor Pub
Shanghai Baby : A Novel,Wei Hui,Washington Square Press
Midnight's Children,Salman Rushdie,Penguin Books
Some Days There's Pie: A Novel,Catherine Landis,St. Martin's Press
Dragonne's Eg,Mary Brown,Baen
"Long Hot Summoning (The Keeper's Chronicles, Number 3)",Tanya Huff,Daw Books
"The Second Summoning (The Keeper's Chronicles, No 2)",Tanya Huff,Daw Books
Sleep Toward Heaven: A Novel,Amanda Eyre Ward,MacAdam/Cage Publishing
Lost Woods: The Discovered Writing of Rachel Carson,Rachel Carson,Beacon Press
Small Wonder: Essays,Barbara Kingsolver,HarperCollins
The Salmon of Doubt,DOUGLAS ADAMS,Ballantine Books
Round Ireland With a Fridge,Tony Hawks,St. Martin's Press
Parzival and the Stone from Heaven: A Grail Romance Retold for Our Time,Lindsay Clarke,Thorsons Publishers
The Remarkable Journey of Prince Jen,Lloyd Alexander,Yearling
The Fresco,Sheri S. Tepper,Eos
The Family Tree,Sheri S. Tepper,Eos
The Cheetah Chase,Karin McQuillan,Fawcett Books
"Memnoch the Devil (Vampire Chronicles, No 5)",Anne Rice,Ballantine Books
Through Alien Eyes,Amy Thomson,Ace Books
The Color of Distance,Amy Thomson,Ace Books
Six Moon Dance,Sheri S. Tepper,Eos
Lythande,Marion Zimmer Bradley,Daw Books
The Samurai's Wife (A Sano Ichiro Mystery),Laura Joh Rowland,St. Martin's Paperbacks
Black Lotus (A Sano Ichiro Mystery),Laura Joh Rowland,St. Martin's Paperbacks
Snow Crash (Bantam Spectra Book),NEAL STEPHENSON,Bantam
The Book of Air (Dragon Quartet),Marjorie B. Kellogg,Daw Books
"The Book of Fire (Kellogg, M. Bradley. Dragon Quartet, V. 3.)",Marjorie B. Kellogg,Daw Books
The Book of Water (Daw Book Collectors),Marjorie B. Kellogg,Daw Books
The Book of Earth (Dragon Quartet),Marjorie B. Kellogg,Daw Books
The Fellowship of the Ring (Lord of the Rings (Paperback)),J. R. R. Tolkien,Houghton Mifflin
"Mendoza in Hollywood (A Novel of the Company, Book 3)",Kage Baker,Eos
"Sky Coyote (A Novel of the Company, Book 2)",Kage Baker,Eos
Fire Bringer,David Clement-Davies,Puffin Books
Temporary Agency,Rachel Pollack,Overlook Press
Mister Posterior and the Genius Child,Emily Jenkins,Berkley Publishing Group
"In the Garden of Iden (A Novel of the Company, Book 1)",Kage Baker,Eos
Secret,Mirika Mayo Cornelius,Akirim Press
First to Fight: An Inside View of the U.S. Marine Corps (Bluejacket Books),Victor H. Krulak,Naval Institute Press
Selected Poems,William Carlos Williams,New Directions Publishing Corporation
Marriages and Families: Making Choices in a Diverse Society,Mary Ann Lamanna,Thomson Learning
Dream Island (Medieval Trilogy),Josie Litton,Bantam Books
The BIBLE CODE,Michael Drosnin,Touchstone
"Bachelor Brothers' Bed &amp, Breakfast",Bill Richardson,St. Martin's Griffin
Strange but True,John Searles,William Morrow
That's Amore,Carol Grace,Pocket Star
The Last Chance Cafe : A Novel,Linda Lael Miller,Atria
The Summer of My Greek Taverna : A Memoir,Tom Stone,"Simon &amp, Schuster"
Time and Chance,Sharon Kay Penman,Putnam Publishing Group
The Rapture of Canaan,Sheri Reynolds,Berkley Publishing Group
The Eleanor Roosevelt Girls,Bonnie Bluh,Lyre-Bird Books
"Lucia, Lucia : A Novel",ADRIANA TRIGIANI,Random House
Simon Says,Gloria Murphy,Signet Book
To the Heart of the Nile : Lady Florence Baker and the Exploration of Central Africa,Pat Shipman,William Morrow
Dancing in the Dark,Donald Thomas,St Martins Pr
Recipes For Easy Living,Curtiss Ann Matlock,Mira
Mrs. Mike,Benedict Freedman,Berkley Publishing Group
The Secret Hour,LUANNE RICE,Bantam
"Those Christmas Angels (Harlequin Superromance, 1164)",Debbie Macomber,Harlequin
What We Keep : A Novel (Ballantine Reader's Circle),Elizabeth Berg,Ballantine Books
Heaven and Earth (Three Sisters Island Trilogy),Nora Roberts,Jove Books
This is My Daughter: A Novel,Roxana Robinson,Touchstone
Dance upon the Air (Three Sisters Island Trilogy),Nora Roberts,Jove Books
Murder Under Blue Skies,Willard Scott,Onyx Books
The Future Homemakers of America,Laurie Graham,Warner Books
Entering Normal (Ballantine Reader's Circle),Anne D. Leclaire,Ballantine Books
"Last Puzzle &amp, Testament (Puzzle Lady Mysteries (Paperback))",Parnell Hall,Bantam Books
Sweet Nothings,Catherine Anderson,Onyx Books
A Snowball's Chance/ A Christmas Carol,Nikki Rivers,Harlequin
Home To Eden,Dallas Schulze,Mira
Maitland Maternity Christmas: (3 Novels in 1),Muriel Jenson,Harlequin
Christmas Pie,Emma Craig,Leisure Books
"Book Lust: Recommended Reading for Every Mood, Moment, and Reason",Nancy Pearl,Sasquatch Books
Dirt Music : A Novel,Tim Winton,Scribner
Enduring Love,Ian McEwan,Anchor Books/Doubleday
The Next Step in the Dance : A Novel,Tim Gautreaux,Picador
One Thousand White Women : The Journals of May Dodd: A Novel,Jim Fergus,St. Martin's Griffin
"Rebekah: Women of Genesis (Women of Genesis, 2)",Orson Scott Card,Shadow Mountain
The Debt: What America Owes to Blacks,Randall Robinson,Plume Books
"Rule by Secrecy: The Hidden History That Connects the Trilateral Commission, the Freemasons, and the Great Pyramids",Jim Marrs,HarperCollins Publishers
La Aventura del Tocador de Senoras,Eduardo Mendoza,Editorial Seix Barral
Madame Bovary (Fabula),Gustave Flaubert,Tusquets
Flatland: A Romance of Many Dimensions (Dover Thrift Editions),Edwin A. Abbott,Dover Publications
The Gift of the Magi and Other Short Stories (Dover Thrift Editions),O. Henry,Dover Publications
The Sculptress,Minette Walters,Macmillan Pub Ltd
The Legend That Was Earth,James P. Hogan,Baen
The Vorpal Blade,Colin Forbes,"Simon &amp, Schuster (Trade Division)"
Unbearable Lightness of Being,Milan Kundera,Faber Faber Inc
Letters from Medjugorje,Wayne Weible,Paraclete Press (MA)
Road to Wellville,T. Coraghessan Boyle,New Amer Library (Mm)
The Family of Pascual Duarte,Camilo Jose Cela,"Little Brown &amp, Co"
The Secrets of Bach Flower Remedies,Jeremy Harwood,Dorling Kindersley Publishing
"More Than a Pink Cadillac : Mary Kay, Inc.'s Nine Leadership Keys to Success",Jim Underwood,McGraw-Hill
What Looks Like Crazy On An Ordinary Day,Pearl Cleage,Perennial
Angela's Ashes (MMP) : A Memoir,Frank McCourt,Scribner
Mutant Message Down Under,Marlo Morgan,Perennial
Knights of the Whip: Stagecoach Days in Oregon,Gary Meier,"Gary &amp, Gloria Meier"
The Way of a Boy: A Memoir of Java,Ernest Hillen,Penguin USA
Birds of the Innocent Wood,Deirdre Madden,"Farrar Straus &amp, Giroux"
Lady Chatterley's Lover (Penguin Popular Classics),D.H. Lawrence,Penguin Books Ltd
Grijze Wolven: Een zoektocht naar Turks extreem-rechts,Stella Braam,"Nijgh &amp, Van Ditmar"
At Ruby's,Frank DeLaney,HarperCollins Publishers
Snow White and the Seven Samurai,Tom Holt,Orbit Book Co
Die externe Rechnungslegung der Kreditinstitute und Finanzdienstleistungsinstitute (Vahlens HandbÃ¼cher der Wirtschafts- und Sozialwissenschaften),Hartmut Bieg,Vahlen
The Corrections: A Novel,Jonathan Franzen,Picador USA
Sick Puppy,Carl Hiaasen,Alfred A. Knopf
"CSI, Miami: Heat Wave",Max Allan Collins,Pocket Star
Tempting the Heiress,Barbara Pierce,St. Martin's Paperbacks
Mimosa Grove (Mira),Dinah McCall,Mira
The Marriage Test,Betina Krahn,Berkley Publishing Group
The Dragon Lord's Daughters,Bertrice Small,BRAVA
Getting What You Want,Kathy Love,Zebra Books
Perfect Switch,Lisa Plumley,Zebra Books
What Memories Remain,Cait London,Avon
Again The Magic,Lisa Kleypas,Avon
The Thin Pink Line (Red Dress Ink),Lauren Baratz-Logsted,Red Dress Ink
With Open Arms (Silhouette Single Title),Nora Roberts,Silhouette
Blood Lure,Nevada Barr,G. P. Putnam's Sons
The Cube,Annie Gottlieb,HarperSanFrancisco
Nerd in Shining Armor,Vicki Lewis Thompson,Dell Publishing Company
Any Small Goodness: A Novel of the Barrio,Tony Johnston,Scholastic Paperbacks
Ravage,Rene Barjavel,"French &amp, European Pubns"
The Toy Factory (Sammy and Brian Mystery),Ken Munro,Masthof Pr
Homecoming: The Southern Family in Short Fiction,Liz Smith Parkhurst,August House Pub Inc
Shopgirl : A Novella,Steve Martin,Hyperion Press
Medicine River,Thomas King,Penguin Books
Im CafÃ?Â© und auf der Strasse. Geschichten.,HansjÃ?Â¶rg Schneider,Ammann
Die Fehler des Kopisten: Botho Strauss,Botho Strauss,Hanser
Das Schimmern der FlÃ¼gel: Jugendmythen,Erika Burkart,Ammann
"Fursorgliche Belagerung (Fiction, Poetry and Drama)",Boll,Deutscher Taschenbuch Verlag (DTV)
"Erinnerungen an Kreisau, 1930-1945",Freya von Moltke,Beck
August der Starke: Bilder einer Zeit,Reinhard Delau,Mitteldeutscher Verlag
Nachtbuch fÃ¼r Astrid (Odeon),HansjÃ¶rg Schneider,Ammann
Unstete Leute: Roman,Christina Viragh,Klett-Cotta
A Marriage Made in Heaven : Or Too Tired for an Affair,Erma Bombeck,HarperTorch
Die USA im RÃ¼ckspiegel: Aufzeichnungen eines Schweizer Amerika-Reisenden,Jacques Wirz,Janus
Der Matarese- Bund. Roman.,Robert Ludlum,Heyne
Die Akte Odessa. / Das vierte Protokoll.,Frederick Forsyth,Piper
Stupid White Men. Eine Abrechnung mit dem Amerika unter George W. Bush,Michael Moore,Piper
Comprehensive School Health Education: Totally Awesome Strategies for Teaching Health,Linda Brower Meeks,McGraw-Hill Companies
An Anthropologist on Mars: Seven Paradoxical Tales,Oliver W. Sacks,Vintage Books USA
